Unnamed: 0,Unnamed: 0.1,date,iso3166,Net generation,unit_x,Retail sales of electricity,unit_y,Revenue from retail sales of electricity,unit_x.1,Average retail price of electricity,unit_y.1,Number of customer accounts,unit,TAVG,TMAX,TMIN,state
14,14,2018-10-01,USA-AL,10874.23878,thousand megawatthours,7195.344190000002,million kilowatthours,685.02498,million dollars,9.52,cents per kilowatthour,2644196.0,number of customers,67.41182795698923,78.05684210526314,56.75157894736844,Alabama
15,15,2018-09-01,USA-AL,12822.7102,thousand megawatthours,8144.57729,million kilowatthours,816.10708,million dollars,10.02,cents per kilowatthour,2641765.0,number of customers,79.45959595959596,89.05399999999996,69.87099999999998,Alabama
16,16,2018-08-01,USA-AL,13951.706,thousand megawatthours,8634.82393,million kilowatthours,862.10165,million dollars,9.98,cents per kilowatthour,2643349.0,number of customers,79.51875000000003,89.4453608247423,69.57319587628864,Alabama
17,17,2018-07-01,USA-AL,14510.86279,thousand megawatthours,8688.031359999999,million kilowatthours,861.79263,million dollars,9.92,cents per kilowatthour,2636118.0,number of customers,80.48775510204082,90.15151515151516,70.81530612244897,Alabama
18,18,2018-06-01,USA-AL,13353.58339,thousand megawatthours,8140.947709999998,million kilowatthours,812.0705,million dollars,9.98,cents per kilowatthour,2637699.0,number of customers,79.13203883495147,89.56730769230772,68.70970873786408,Alabama
19,19,2018-05-01,USA-AL,12272.1014,thousand megawatthours,7250.11475,million kilowatthours,701.10202,million dollars,9.67,cents per kilowatthour,2635143.0,number of customers,74.29134615384619,85.78750000000005,62.80096153846154,Alabama
20,20,2018-04-01,USA-AL,10935.11183,thousand megawatthours,6254.45669,million kilowatthours,591.41592,million dollars,9.46,cents per kilowatthour,2633319.0,number of customers,59.112000000000016,71.98399999999998,46.24099999999999,Alabama
21,21,2018-03-01,USA-AL,10460.06215,thousand megawatthours,6699.47834,million kilowatthours,630.65315,million dollars,9.41,cents per kilowatthour,2630736.0,number of customers,54.60714285714287,66.44081632653062,42.775510204081634,Alabama
22,22,2018-02-01,USA-AL,9790.78138,thousand megawatthours,6571.27129,million kilowatthours,617.55044,million dollars,9.4,cents per kilowatthour,2626695.0,number of customers,57.33939393939392,67.42020202020204,47.24747474747478,Alabama
23,23,2018-01-01,USA-AL,13310.53299,thousand megawatthours,8572.761559999999,million kilowatthours,833.8745,million dollars,9.73,cents per kilowatthour,2631718.0,number of customers,39.86372549019607,51.32549019607846,28.401960784313733,Alabama
24,24,2018-12-01,USA-AR,5515.92786,thousand megawatthours,3839.44679,million kilowatthours,277.93522,million dollars,7.24,cents per kilowatthour,1627893.0,number of customers,43.57254901960785,52.25980392156863,34.880392156862754,Arkansas
25,25,2018-11-01,USA-AR,5147.26153,thousand megawatthours,3543.00469,million kilowatthours,256.96297000000004,million dollars,7.25,cents per kilowatthour,1629177.0,number of customers,45.28712871287126,55.703921568627464,34.918627450980395,Arkansas
26,26,2018-10-01,USA-AR,5493.72376,thousand megawatthours,4009.9805,million kilowatthours,284.1047200000001,million dollars,7.08,cents per kilowatthour,1632892.0,number of customers,62.394392523364495,72.1738317757009,52.61869158878505,Arkansas
27,27,2018-09-01,USA-AR,5496.40987,thousand megawatthours,4516.37685,million kilowatthours,350.10774,million dollars,7.75,cents per kilowatthour,1631807.0,number of customers,74.78857142857143,83.55142857142854,66.01809523809521,Arkansas
28,28,2018-08-01,USA-AR,6800.92809,thousand megawatthours,4808.46668,million kilowatthours,378.21847,million dollars,7.87,cents per kilowatthour,1634390.0,number of customers,78.76074766355141,88.70654205607477,68.82336448598129,Arkansas
29,29,2018-07-01,USA-AR,6967.81038,thousand megawatthours,4926.42999,million kilowatthours,389.96683,million dollars,7.92,cents per kilowatthour,1631042.0,number of customers,81.76176470588236,92.5029126213592,71.0578431372549,Arkansas
30,30,2018-06-01,USA-AR,6251.32416,thousand megawatthours,4394.17455,million kilowatthours,341.4442,million dollars,7.77,cents per kilowatthour,1626778.0,number of customers,80.03714285714284,90.87142857142858,69.20285714285716,Arkansas
31,31,2018-05-01,USA-AR,5165.16961,thousand megawatthours,3672.11264,million kilowatthours,270.92508,million dollars,7.38,cents per kilowatthour,1618983.0,number of customers,74.85887850467292,85.87850467289718,63.847663551401865,Arkansas
32,32,2018-04-01,USA-AR,4810.44439,thousand megawatthours,3415.40875,million kilowatthours,250.16496,million dollars,7.32,cents per kilowatthour,1613396.0,number of customers,54.58155339805826,66.93269230769235,42.230097087378624,Arkansas
33,33,2018-03-01,USA-AR,4458.63569,thousand megawatthours,3616.36184,million kilowatthours,292.67831,million dollars,8.09,cents per kilowatthour,1613571.0,number of customers,53.166346153846156,65.00576923076925,41.32115384615385,Arkansas
34,34,2018-02-01,USA-AR,4849.30713,thousand megawatthours,3971.34636,million kilowatthours,325.58378,million dollars,8.2,cents per kilowatthour,1614834.0,number of customers,44.894339622641496,55.29528301886792,34.4933962264151,Arkansas
35,35,2018-01-01,USA-AR,6177.100329999998,thousand megawatthours,4454.51651,million kilowatthours,362.56345,million dollars,8.14,cents per kilowatthour,1618870.0,number of customers,35.044230769230765,45.837499999999984,24.242307692307698,Arkansas
36,36,2018-12-01,USA-AZ,9401.56529,thousand megawatthours,5606.06078,million kilowatthours,562.26499,million dollars,10.03,cents per kilowatthour,3159483.0,number of customers,41.4759776536313,53.08547486033522,29.860335195530705,Arizona
37,37,2018-11-01,USA-AZ,8052.082240000002,thousand megawatthours,5110.15762,million kilowatthours,514.52575,million dollars,10.07,cents per kilowatthour,3149053.0,number of customers,47.249468085106365,61.11623036649209,33.64708994708993,Arizona
38,38,2018-10-01,USA-AZ,9290.64816,thousand megawatthours,5775.8045200000015,million kilowatthours,633.72625,million dollars,10.97,cents per kilowatthour,3136996.0,number of customers,57.15867346938778,68.07272727272725,46.329081632653065,Arizona
39,39,2018-09-01,USA-AZ,11383.9767,thousand megawatthours,7848.985240000001,million kilowatthours,890.68036,million dollars,11.35,cents per kilowatthour,3127597.0,number of customers,72.40050761421315,86.69299999999996,58.13248730964468,Arizona
40,40,2018-08-01,USA-AZ,12333.93453,thousand megawatthours,9029.04978,million kilowatthours,1048.51223,million dollars,11.61,cents per kilowatthour,3119871.0,number of customers,76.15360824742262,89.09492385786798,63.177664974619255,Arizona
41,41,2018-07-01,USA-AZ,12138.17487,thousand megawatthours,9057.27119,million kilowatthours,1061.28027,million dollars,11.72,cents per kilowatthour,3115921.0,number of customers,78.40796019900496,91.69460784313722,65.01527093596063,Arizona
42,42,2018-06-01,USA-AZ,10211.66313,thousand megawatthours,7827.6366400000015,million kilowatthours,904.94102,million dollars,11.56,cents per kilowatthour,3114240.0,number of customers,75.52448979591841,91.8390862944162,59.16395939086295,Arizona
43,43,2018-05-01,USA-AZ,8739.11037,thousand megawatthours,6586.26261,million kilowatthours,752.02684,million dollars,11.42,cents per kilowatthour,3112897.0,number of customers,65.52160804020103,81.8688118811881,49.2755,Arizona
44,44,2018-04-01,USA-AZ,7275.0659700000015,thousand megawatthours,5678.95935,million kilowatthours,605.36096,million dollars,10.66,cents per kilowatthour,3113624.0,number of customers,60.33266331658289,76.02449999999997,44.55148514851484,Arizona
45,45,2018-03-01,USA-AZ,7956.20526,thousand megawatthours,5246.24366,million kilowatthours,529.3713700000002,million dollars,10.09,cents per kilowatthour,3122264.0,number of customers,50.029441624365475,63.86446700507618,36.13899999999997,Arizona
46,46,2018-02-01,USA-AZ,7312.141740000001,thousand megawatthours,4846.61389,million kilowatthours,494.66908,million dollars,10.21,cents per kilowatthour,3121709.0,number of customers,44.98350000000002,58.23299999999999,31.618719211822643,Arizona
47,47,2018-01-01,USA-AZ,8208.302,thousand megawatthours,5442.99492,million kilowatthours,546.78222,million dollars,10.05,cents per kilowatthour,3117984.0,number of customers,45.965463917525796,60.11999999999999,31.751020408163253,Arizona
48,48,2018-12-01,USA-CA,14951.24425,thousand megawatthours,19501.11521,million kilowatthours,3159.29305,million dollars,16.2,cents per kilowatthour,15522084.0,number of customers,46.08532934131735,54.96336336336332,37.204204204204174,California
49,49,2018-11-01,USA-CA,15164.92926,thousand megawatthours,18108.8203,million kilowatthours,2996.19984,million dollars,16.55,cents per kilowatthour,15249111.0,number of customers,53.612275449101794,65.4258258258258,41.82402402402401,California
50,50,2018-10-01,USA-CA,17007.4882,thousand megawatthours,22222.05747,million kilowatthours,3602.4076700000005,million dollars,16.21,cents per kilowatthour,15636937.0,number of customers,61.33363363363365,74.1245508982036,48.5861861861862,California
51,51,2018-09-01,USA-CA,17286.31549,thousand megawatthours,20085.89537,million kilowatthours,3528.1657200000004,million dollars,17.57,cents per kilowatthour,15184379.0,number of customers,69.46426426426419,84.36298507462688,54.47108433734945,California
52,52,2018-08-01,USA-CA,20812.23183,thousand megawatthours,29589.534,million kilowatthours,5541.783210000001,million dollars,18.73,cents per kilowatthour,15755100.0,number of customers,74.02252252252256,88.427245508982,59.56306306306304,California
53,53,2018-07-01,USA-CA,22178.73081,thousand megawatthours,25117.50604,million kilowatthours,4626.22953,million dollars,18.42,cents per kilowatthour,15498387.0,number of customers,77.39006024096393,91.78298507462685,62.912612612612584,California
54,54,2018-06-01,USA-CA,17423.889430000007,thousand megawatthours,20879.92474,million kilowatthours,3721.53237,million dollars,17.82,cents per kilowatthour,15503168.0,number of customers,69.10420420420418,83.88835820895522,54.240361445783094,California
55,55,2018-05-01,USA-CA,15591.74241,thousand megawatthours,19660.84729,million kilowatthours,3165.5635,million dollars,16.1,cents per kilowatthour,15758867.0,number of customers,61.26047904191615,73.61021021021024,48.87327327327328,California
56,56,2018-04-01,USA-CA,15040.38715,thousand megawatthours,18181.63177,million kilowatthours,2626.23426,million dollars,14.44,cents per kilowatthour,15201371.0,number of customers,56.38348348348346,68.88203592814371,43.90090090090093,California
57,57,2018-03-01,USA-CA,14418.19158,thousand megawatthours,21327.22397,million kilowatthours,3307.10032,million dollars,15.51,cents per kilowatthour,15709410.0,number of customers,49.12282282282282,59.49731343283582,38.67048192771082,California
58,58,2018-02-01,USA-CA,12889.80516,thousand megawatthours,17787.24464,million kilowatthours,2768.74593,million dollars,15.57,cents per kilowatthour,14932422.0,number of customers,47.31024096385541,59.57305389221554,35.097904191616784,California
59,59,2018-01-01,USA-CA,14461.93603,thousand megawatthours,20268.22079,million kilowatthours,3160.7176,million dollars,15.59,cents per kilowatthour,15512132.0,number of customers,49.62664670658679,59.30990990990989,39.98408408408412,California
60,60,2018-12-01,USA-CO,5126.74053,thousand megawatthours,4679.0383299999985,million kilowatthours,454.63587,million dollars,9.72,cents per kilowatthour,2722392.0,number of customers,24.18096676737161,36.202702702702695,12.020833333333329,Colorado
61,61,2018-11-01,USA-CO,4534.25915,thousand megawatthours,4406.1690899999985,million kilowatthours,436.61701,million dollars,9.91,cents per kilowatthour,2718607.0,number of customers,29.89339339339336,41.7180722891566,17.991641791044785,Colorado
62,62,2018-10-01,USA-CO,4290.06948,thousand megawatthours,4426.26856,million kilowatthours,451.18627,million dollars,10.19,cents per kilowatthour,2716579.0,number of customers,42.525301204819286,53.76246246246241,31.208358208955232,Colorado
63,63,2018-09-01,USA-CO,4571.5268,thousand megawatthours,4866.79758,million kilowatthours,500.0161700000001,million dollars,10.27,cents per kilowatthour,2711463.0,number of customers,58.7093373493976,73.66042296072511,43.60089020771513,Colorado
64,64,2018-08-01,USA-CO,5265.7923,thousand megawatthours,5464.45906,million kilowatthours,566.07135,million dollars,10.36,cents per kilowatthour,2709319.0,number of customers,63.088855421686716,77.57951807228915,48.517261904761895,Colorado
65,65,2018-07-01,USA-CO,5504.78108,thousand megawatthours,5518.32214,million kilowatthours,575.10329,million dollars,10.42,cents per kilowatthour,2704764.0,number of customers,66.63783783783778,81.5605421686747,51.63522388059698,Colorado
66,66,2018-06-01,USA-CO,4986.64751,thousand megawatthours,4948.50898,million kilowatthours,515.44223,million dollars,10.42,cents per kilowatthour,2702603.0,number of customers,62.765165165165186,78.50632530120481,46.94835820895522,Colorado
67,67,2018-05-01,USA-CO,4302.94297,thousand megawatthours,4426.27336,million kilowatthours,435.46253,million dollars,9.84,cents per kilowatthour,2700620.0,number of customers,53.33975903614462,67.54999999999998,39.105952380952395,Colorado
68,68,2018-04-01,USA-CO,4071.78863,thousand megawatthours,4094.1239,million kilowatthours,401.16591,million dollars,9.8,cents per kilowatthour,2696254.0,number of customers,41.53463855421686,55.061933534743176,27.84836795252225,Colorado
69,69,2018-03-01,USA-CO,4379.03748,thousand megawatthours,4420.30361,million kilowatthours,422.57382,million dollars,9.56,cents per kilowatthour,2692909.0,number of customers,34.541691842900306,48.06716867469879,20.88961424332345,Colorado
70,70,2018-02-01,USA-CO,4295.221610000001,thousand megawatthours,4185.54787,million kilowatthours,402.68249,million dollars,9.62,cents per kilowatthour,2689108.0,number of customers,26.639457831325306,38.611445783132574,14.560119047619045,Colorado
71,71,2018-01-01,USA-CO,4681.14245,thousand megawatthours,4624.48133,million kilowatthours,439.16836,million dollars,9.5,cents per kilowatthour,2685081.0,number of customers,28.061933534743204,41.06978851963745,14.991124260355024,Colorado
72,72,2018-12-01,USA-CT,3602.18493,thousand megawatthours,2407.67188,million kilowatthours,453.46213,million dollars,18.83,cents per kilowatthour,1665746.0,number of customers,33.975,42.15,25.835,Connecticut
73,73,2018-11-01,USA-CT,2885.35496,thousand megawatthours,2199.10245,million kilowatthours,408.44161,million dollars,18.57,cents per kilowatthour,1665016.0,number of customers,39.40000000000001,46.99523809523809,31.757142857142853,Connecticut
74,74,2018-10-01,USA-CT,2801.37544,thousand megawatthours,2169.71254,million kilowatthours,398.80622,million dollars,18.38,cents per kilowatthour,1663769.0,number of customers,52.39047619047618,61.171428571428564,43.61428571428571,Connecticut
75,75,2018-09-01,USA-CT,3319.09817,thousand megawatthours,2345.4634,million kilowatthours,450.16086,million dollars,19.19,cents per kilowatthour,1661769.0,number of customers,66.56818181818181,74.36818181818181,58.7818181818182,Connecticut
76,76,2018-08-01,USA-CT,3838.63869,thousand megawatthours,2975.23756,million kilowatthours,546.42172,million dollars,18.37,cents per kilowatthour,1663367.0,number of customers,74.76818181818183,83.60909090909091,65.93636363636365,Connecticut
77,77,2018-07-01,USA-CT,3770.99664,thousand megawatthours,2966.52758,million kilowatthours,536.68972,million dollars,18.09,cents per kilowatthour,1662627.0,number of customers,74.20434782608694,84.2217391304348,64.1913043478261,Connecticut
78,78,2018-06-01,USA-CT,3351.67471,thousand megawatthours,2248.1896,million kilowatthours,418.52571,million dollars,18.62,cents per kilowatthour,1662244.0,number of customers,66.38095238095237,76.69999999999997,56.05238095238097,Connecticut
79,79,2018-05-01,USA-CT,2934.4342300000008,thousand megawatthours,2177.32486,million kilowatthours,388.2031,million dollars,17.83,cents per kilowatthour,1663297.0,number of customers,62.18260869565216,72.94347826086955,51.41739130434783,Connecticut
80,80,2018-04-01,USA-CT,2987.1512,thousand megawatthours,2075.67352,million kilowatthours,381.95243,million dollars,18.4,cents per kilowatthour,1662138.0,number of customers,43.49545454545454,53.28181818181818,33.70909090909091,Connecticut
81,81,2018-03-01,USA-CT,3229.75519,thousand megawatthours,2252.34675,million kilowatthours,411.45518,million dollars,18.27,cents per kilowatthour,1661736.0,number of customers,36.445454545454545,44.31818181818181,28.58181818181818,Connecticut
82,82,2018-02-01,USA-CT,2851.44453,thousand megawatthours,2178.68525,million kilowatthours,407.81549,million dollars,18.72,cents per kilowatthour,1660389.0,number of customers,35.58181818181819,44.58636363636364,26.58636363636364,Connecticut
83,83,2018-01-01,USA-CT,3470.11707,thousand megawatthours,2698.76244,million kilowatthours,496.49965,million dollars,18.4,cents per kilowatthour,1661078.0,number of customers,25.295,34.404999999999994,16.2,Connecticut
84,84,2018-12-01,USA-DC,8.232000000000001,thousand megawatthours,916.84735,million kilowatthours,114.97729,million dollars,12.54,cents per kilowatthour,305487.0,number of customers,40.7,49.6,31.8,District of Columbia
85,85,2018-11-01,USA-DC,4.205,thousand megawatthours,896.4158,million kilowatthours,113.45502,million dollars,12.66,cents per kilowatthour,303825.0,number of customers,45.0,52.6,36.25,District of Columbia
86,86,2018-10-01,USA-DC,3.796,thousand megawatthours,922.06901,million kilowatthours,113.68194,million dollars,12.33,cents per kilowatthour,302916.0,number of customers,59.7,68.45,50.9,District of Columbia
87,87,2018-09-01,USA-DC,6.0070000000000014,thousand megawatthours,986.89702,million kilowatthours,117.18209,million dollars,11.87,cents per kilowatthour,302389.0,number of customers,74.65,81.85,67.5,District of Columbia
88,88,2018-08-01,USA-DC,4.698,thousand megawatthours,1094.12082,million kilowatthours,134.00053,million dollars,12.25,cents per kilowatthour,301844.0,number of customers,79.35,88.45,70.30000000000001,District of Columbia
89,89,2018-07-01,USA-DC,9.104,thousand megawatthours,1107.45491,million kilowatthours,126.3217,million dollars,11.41,cents per kilowatthour,300901.0,number of customers,80.1,89.4,70.8,District of Columbia
90,90,2018-06-01,USA-DC,6.5520000000000005,thousand megawatthours,960.21657,million kilowatthours,113.93366,million dollars,11.87,cents per kilowatthour,300028.0,number of customers,75.0,83.9,66.1,District of Columbia
91,91,2018-05-01,USA-DC,3.814,thousand megawatthours,882.13051,million kilowatthours,104.60617,million dollars,11.86,cents per kilowatthour,299767.0,number of customers,72.8,83.1,62.4,District of Columbia
92,92,2018-04-01,USA-DC,9.69524,thousand megawatthours,823.48011,million kilowatthours,104.67795,million dollars,12.71,cents per kilowatthour,299541.0,number of customers,52.95,63.9,42.05,District of Columbia
93,93,2018-03-01,USA-DC,8.844,thousand megawatthours,950.38764,million kilowatthours,102.70159,million dollars,10.81,cents per kilowatthour,299226.0,number of customers,41.15000000000001,50.2,32.1,District of Columbia
94,94,2018-02-01,USA-DC,7.593,thousand megawatthours,826.65801,million kilowatthours,102.7389,million dollars,12.43,cents per kilowatthour,298348.0,number of customers,42.90000000000001,51.6,34.2,District of Columbia
95,95,2018-01-01,USA-DC,6.937,thousand megawatthours,991.31938,million kilowatthours,118.1045,million dollars,11.91,cents per kilowatthour,297163.0,number of customers,34.5,44.0,24.9,District of Columbia
96,96,2018-12-01,USA-DE,236.0593,thousand megawatthours,929.95238,million kilowatthours,99.05522,million dollars,10.65,cents per kilowatthour,487408.0,number of customers,41.86666666666667,49.83333333333334,33.86666666666667,Delaware
97,97,2018-11-01,USA-DE,323.65595,thousand megawatthours,860.93486,million kilowatthours,93.50445,million dollars,10.86,cents per kilowatthour,487070.0,number of customers,45.83333333333334,53.70000000000001,38.0,Delaware
98,98,2018-10-01,USA-DE,637.69538,thousand megawatthours,901.86799,million kilowatthours,100.10367,million dollars,11.1,cents per kilowatthour,486942.0,number of customers,60.56666666666666,69.39999999999999,51.73333333333333,Delaware
99,99,2018-09-01,USA-DE,618.7694,thousand megawatthours,1005.90973,million kilowatthours,105.57448,million dollars,10.5,cents per kilowatthour,486443.0,number of customers,73.76666666666667,80.5,67.03333333333333,Delaware
100,100,2018-08-01,USA-DE,749.64922,thousand megawatthours,1153.7001300000004,million kilowatthours,119.93103,million dollars,10.4,cents per kilowatthour,486288.0,number of customers,79.0,87.63333333333333,70.36666666666667,Delaware
101,101,2018-07-01,USA-DE,610.71053,thousand megawatthours,1134.53071,million kilowatthours,116.36397,million dollars,10.26,cents per kilowatthour,485176.0,number of customers,77.76666666666667,86.86666666666667,68.63333333333334,Delaware
102,102,2018-06-01,USA-DE,401.5394,thousand megawatthours,940.27911,million kilowatthours,99.59929,million dollars,10.59,cents per kilowatthour,484512.0,number of customers,72.76666666666667,81.83333333333333,63.76666666666666,Delaware
103,103,2018-05-01,USA-DE,467.71672,thousand megawatthours,857.55609,million kilowatthours,90.44703,million dollars,10.55,cents per kilowatthour,483923.0,number of customers,68.63333333333334,78.4,58.93333333333334,Delaware
104,104,2018-04-01,USA-DE,491.76594000000006,thousand megawatthours,879.5730699999998,million kilowatthours,93.41302,million dollars,10.62,cents per kilowatthour,483326.0,number of customers,52.1,62.6,41.6,Delaware
105,105,2018-03-01,USA-DE,540.5872,thousand megawatthours,940.16065,million kilowatthours,97.10642,million dollars,10.33,cents per kilowatthour,482588.0,number of customers,40.63333333333333,48.7,32.46666666666667,Delaware
106,106,2018-02-01,USA-DE,395.45111,thousand megawatthours,894.14223,million kilowatthours,98.20391,million dollars,10.98,cents per kilowatthour,481801.0,number of customers,43.66666666666666,53.0,34.300000000000004,Delaware
107,107,2018-01-01,USA-DE,540.13855,thousand megawatthours,1071.08451,million kilowatthours,113.98951,million dollars,10.64,cents per kilowatthour,481311.0,number of customers,33.166666666666664,42.66666666666666,23.66666666666667,Delaware
108,108,2018-12-01,USA-FL,17929.10814,thousand megawatthours,17351.235569999993,million kilowatthours,1847.22147,million dollars,10.65,cents per kilowatthour,10785853.0,number of customers,64.25500000000002,73.50571428571433,54.978014184397146,Florida
109,109,2018-11-01,USA-FL,18323.85353,thousand megawatthours,18039.75215,million kilowatthours,1956.43983,million dollars,10.85,cents per kilowatthour,10749666.0,number of customers,69.16554054054055,78.69256756756752,59.719463087248286,Florida
110,110,2018-10-01,USA-FL,21676.53597,thousand megawatthours,21121.40326,million kilowatthours,2214.20043,million dollars,10.48,cents per kilowatthour,10604339.0,number of customers,78.15642857142855,86.85357142857146,69.50567375886523,Florida
111,111,2018-09-01,USA-FL,23343.41946,thousand megawatthours,23015.43421,million kilowatthours,2332.73218,million dollars,10.14,cents per kilowatthour,10679439.0,number of customers,82.77382550335572,90.70604026845629,74.83422818791948,Florida
112,112,2018-08-01,USA-FL,24406.98013,thousand megawatthours,23463.87275,million kilowatthours,2378.17515,million dollars,10.14,cents per kilowatthour,10648627.0,number of customers,82.74413793103444,90.86620689655172,74.6179310344827,Florida
113,113,2018-07-01,USA-FL,24156.9491,thousand megawatthours,23495.55522,million kilowatthours,2384.81226,million dollars,10.15,cents per kilowatthour,10618795.0,number of customers,82.86000000000004,91.0593103448276,74.6401360544217,Florida
114,114,2018-06-01,USA-FL,22658.81801,thousand megawatthours,21627.93328,million kilowatthours,2201.90247,million dollars,10.18,cents per kilowatthour,10633544.0,number of customers,81.84685314685316,90.35486111111105,73.32377622377622,Florida
115,115,2018-05-01,USA-FL,20500.15747,thousand megawatthours,18668.42161,million kilowatthours,1920.11272,million dollars,10.29,cents per kilowatthour,10616625.0,number of customers,76.7641379310345,85.04246575342465,68.52397260273975,Florida
116,116,2018-04-01,USA-FL,18552.66257,thousand megawatthours,17240.38934,million kilowatthours,1749.4533600000002,million dollars,10.15,cents per kilowatthour,10606344.0,number of customers,71.69929078014188,82.57021276595745,60.93146853146853,Florida
117,117,2018-03-01,USA-FL,17126.949119999994,thousand megawatthours,16836.022240000002,million kilowatthours,1764.5918399999996,million dollars,10.48,cents per kilowatthour,10667059.0,number of customers,64.44513888888889,76.48068965517241,52.507534246575354,Florida
118,118,2018-02-01,USA-FL,16534.113419999998,thousand megawatthours,16560.56226,million kilowatthours,1818.74456,million dollars,10.98,cents per kilowatthour,10575379.0,number of customers,70.71000000000002,79.93733333333334,61.53973509933773,Florida
119,119,2018-01-01,USA-FL,19687.96624,thousand megawatthours,18839.98117,million kilowatthours,2066.77577,million dollars,10.97,cents per kilowatthour,10403605.0,number of customers,57.879999999999974,67.9123287671233,47.8958904109589,Florida
120,120,2018-12-01,USA-GA,10417.19937,thousand megawatthours,11040.1328,million kilowatthours,904.42424,million dollars,8.19,cents per kilowatthour,5022944.0,number of customers,49.211881188118824,58.18910891089109,40.23069306930693,Georgia
121,121,2018-11-01,USA-GA,10372.29428,thousand megawatthours,10310.79172,million kilowatthours,966.83459,million dollars,9.38,cents per kilowatthour,5018459.0,number of customers,52.015999999999984,62.095999999999954,41.933,Georgia
122,122,2018-10-01,USA-GA,10898.14013,thousand megawatthours,11092.08866,million kilowatthours,1001.67929,million dollars,9.03,cents per kilowatthour,5015815.0,number of customers,67.27912087912085,78.01868131868135,56.53736263736264,Georgia
123,123,2018-09-01,USA-GA,11797.55575,thousand megawatthours,13141.61969,million kilowatthours,1317.76939,million dollars,10.03,cents per kilowatthour,5009410.0,number of customers,79.31568627450979,89.0,69.63039215686273,Georgia
124,124,2018-08-01,USA-GA,12511.93535,thousand megawatthours,13616.47904,million kilowatthours,1393.36061,million dollars,10.23,cents per kilowatthour,5007436.0,number of customers,78.8089108910891,88.35294117647057,69.29306930693068,Georgia
125,125,2018-07-01,USA-GA,12844.34224,thousand megawatthours,13731.083819999998,million kilowatthours,1390.2846,million dollars,10.13,cents per kilowatthour,4991131.0,number of customers,79.5291262135922,88.91634615384609,70.14368932038836,Georgia
